FIPS	State	County	Variable	median_household_income
6017	California	El Dorado	median_household_income	61970
6019	California	Fresno	median_household_income	42572
6021	California	Glenn	median_household_income	40221
6023	California	Humboldt	median_household_income	39526
6025	California	Imperial	median_household_income	36898
6027	California	Inyo	median_household_income	44928
6029	California	Kern	median_household_income	44903
6031	California	Kings	median_household_income	48319
6033	California	Lake	median_household_income	35882
6035	California	Lassen	median_household_income	47938
6037	California	Los Angeles	median_household_income	52239
6039	California	Madera	median_household_income	44795
6041	California	Marin	median_household_income	78470
6043	California	Mariposa	median_household_income	42175
6045	California	Mendocino	median_household_income	41236
6047	California	Merced	median_household_income	40016
6049	California	Modoc	median_household_income	34654
6051	California	Mono	median_household_income	48758
6053	California	Monterey	median_household_income	52746
6055	California	Napa	median_household_income	61179
6057	California	Nevada	median_household_income	53833
6059	California	Orange	median_household_income	72046
6061	California	Placer	median_household_income	69581
6063	California	Plumas	median_household_income	44923
6065	California	Riverside	median_household_income	52491
6067	California	Sacramento	median_household_income	52236
6069	California	San Benito	median_household_income	62618
6071	California	San Bernardino	median_household_income	51017
6073	California	San Diego	median_household_income	59290
6075	California	San Francisco	median_household_income	69354
6077	California	San Joaquin	median_household_income	50376
6079	California	San Luis Obispo	median_household_income	53877
6081	California	San Mateo	median_household_income	81378
6083	California	Santa Barbara	median_household_income	59494
6085	California	Santa Clara	median_household_income	84741
6087	California	Santa Cruz	median_household_income	61228
6089	California	Shasta	median_household_income	41796
6091	California	Sierra	median_household_income	45060
6093	California	Siskiyou	median_household_income	35175
6095	California	Solano	median_household_income	63090
6097	California	Sonoma	median_household_income	60792
6099	California	Stanislaus	median_household_income	44287
6101	California	Sutter	median_household_income	48749
6103	California	Tehama	median_household_income	37297
6105	California	Trinity	median_household_income	33163
6107	California	Tulare	median_household_income	40599
6109	California	Tuolumne	median_household_income	43530
6111	California	Ventura	median_household_income	74019
6113	California	Yolo	median_household_income	50174
6115	California	Yuba	median_household_income	43299
8001	Colorado	Adams	median_household_income	52429
8003	Colorado	Alamosa	median_household_income	36870
8005	Colorado	Arapahoe	median_household_income	57042
8007	Colorado	Archuleta	median_household_income	48043
8009	Colorado	Baca	median_household_income	34168
8011	Colorado	Bent	median_household_income	35522
8013	Colorado	Boulder	median_household_income	68101
8014	Colorado	Broomfield	median_household_income	79051
8015	Colorado	Chaffee	median_household_income	44156
8017	Colorado	Cheyenne	median_household_income	46965
8019	Colorado	Clear Creek	median_household_income	65420
8021	Colorado	Conejos	median_household_income	32588
8023	Colorado	Costilla	median_household_income	26125
8025	Colorado	Crowley	median_household_income	30279
8027	Colorado	Custer	median_household_income	45791
8029	Colorado	Delta	median_household_income	41442
8031	Colorado	Denver	median_household_income	47584
8033	Colorado	Dolores	median_household_income	39650
8035	Colorado	Douglas	median_household_income	95973
8037	Colorado	Eagle	median_household_income	67190
8039	Colorado	Elbert	median_household_income	78029
8041	Colorado	El Paso	median_household_income	54857
8043	Colorado	Fremont	median_household_income	41493
8045	Colorado	Garfield	median_household_income	57617
8047	Colorado	Gilpin	median_household_income	60537
8049	Colorado	Grand	median_household_income	56980
8051	Colorado	Gunnison	median_household_income	43069
8053	Colorado	Hinsdale	median_household_income	49024
8055	Colorado	Huerfano	median_household_income	30655
8057	Colorado	Jackson	median_household_income	43206
8059	Colorado	Jefferson	median_household_income	64412
8061	Colorado	Kiowa	median_household_income	41427
8063	Colorado	Kit Carson	median_household_income	43078
8065	Colorado	Lake	median_household_income	42768
8067	Colorado	La Plata	median_household_income	52276
8069	Colorado	Larimer	median_household_income	55501
8071	Colorado	Las Animas	median_household_income	40191
8073	Colorado	Lincoln	median_household_income	42734
8075	Colorado	Logan	median_household_income	43823
8077	Colorado	Mesa	median_household_income	47778
8079	Colorado	Mineral	median_household_income	46956
8081	Colorado	Moffat	median_household_income	52257
8083	Colorado	Montezuma	median_household_income	41817
8085	Colorado	Montrose	median_household_income	43035
8087	Colorado	Morgan	median_household_income	41246
8089	Colorado	Otero	median_household_income	30420
8091	Colorado	Ouray	median_household_income	57922
8093	Colorado	Park	median_household_income	58565
8095	Colorado	Phillips	median_household_income	43826
8097	Colorado	Pitkin	median_household_income	69229
8099	Colorado	Prowers	median_household_income	36563
8101	Colorado	Pueblo	median_household_income	40764
8103	Colorado	Rio Blanco	median_household_income	60022
8105	Colorado	Rio Grande	median_household_income	37472
8107	Colorado	Routt	median_household_income	64998
8109	Colorado	Saguache	median_household_income	30746
8111	Colorado	San Juan	median_household_income	36547
8113	Colorado	San Miguel	median_household_income	57578
8115	Colorado	Sedgwick	median_household_income	37511
8117	Colorado	Summit	median_household_income	60397
8119	Colorado	Teller	median_household_income	60313
8121	Colorado	Washington	median_household_income	43433
8123	Colorado	Weld	median_household_income	51773
8125	Colorado	Yuma	median_household_income	46246
9001	Connecticut	Fairfield	median_household_income	77065
9003	Connecticut	Hartford	median_household_income	60947
9005	Connecticut	Litchfield	median_household_income	68658
9007	Connecticut	Middlesex	median_household_income	75714
9009	Connecticut	New Haven	median_household_income	58985
9011	Connecticut	New London	median_household_income	63561
9013	Connecticut	Tolland	median_household_income	77124
9015	Connecticut	Windham	median_household_income	54911
10001	Delaware	Kent	median_household_income	51045
10003	Delaware	New Castle	median_household_income	63087
10005	Delaware	Sussex	median_household_income	51060
11001	District of Columbia	District of Columbia	median_household_income	62087
12001	Florida	Alachua	median_household_income	39825
12003	Florida	Baker	median_household_income	42564
12005	Florida	Bay	median_household_income	44204
12007	Florida	Bradford	median_household_income	39271
12009	Florida	Brevard	median_household_income	46494
12011	Florida	Broward	median_household_income	48478
12013	Florida	Calhoun	median_household_income	32395
12015	Florida	Charlotte	median_household_income	41346
12017	Florida	Citrus	median_household_income	35041
12019	Florida	Clay	median_household_income	54867
12021	Florida	Collier	median_household_income	51039
12023	Florida	Columbia	median_household_income	36452
12027	Florida	DeSoto	median_household_income	32753
12029	Florida	Dixie	median_household_income	30801
12031	Florida	Duval	median_household_income	45995
12033	Florida	Escambia	median_household_income	41072
12035	Florida	Flagler	median_household_income	47095
12037	Florida	Franklin	median_household_income	35288
12039	Florida	Gadsden	median_household_income	34154
12041	Florida	Gilchrist	median_household_income	38046
12043	Florida	Glades	median_household_income	38825
12045	Florida	Gulf	median_household_income	37373
12047	Florida	Hamilton	median_household_income	29482
12049	Florida	Hardee	median_household_income	33058
12051	Florida	Hendry	median_household_income	35247
12053	Florida	Hernando	median_household_income	40411
12055	Florida	Highlands	median_household_income	33692
12057	Florida	Hillsborough	median_household_income	46592
12059	Florida	Holmes	median_household_income	33211
12061	Florida	Indian River	median_household_income	42053
12063	Florida	Jackson	median_household_income	35193
12065	Florida	Jefferson	median_household_income	40252
12067	Florida	Lafayette	median_household_income	40407
12069	Florida	Lake	median_household_income	44965
12071	Florida	Lee	median_household_income	45515
12073	Florida	Leon	median_household_income	44857
12075	Florida	Levy	median_household_income	33544
12077	Florida	Liberty	median_household_income	37446
12079	Florida	Madison	median_household_income	31578
12081	Florida	Manatee	median_household_income	43494
12083	Florida	Marion	median_household_income	36425
12085	Florida	Martin	median_household_income	50417
12086	Florida	Miami-Dade	median_household_income	40476
12087	Florida	Monroe	median_household_income	51152
12089	Florida	Nassau	median_household_income	54706
12091	Florida	Okaloosa	median_household_income	49643
12093	Florida	Okeechobee	median_household_income	33806
12095	Florida	Orange	median_household_income	44635
12097	Florida	Osceola	median_household_income	40933
12099	Florida	Palm Beach	median_household_income	48973
12101	Florida	Pasco	median_household_income	40859
12103	Florida	Pinellas	median_household_income	42761
12105	Florida	Polk	median_household_income	40258
12107	Florida	Putnam	median_household_income	31150
12109	Florida	St. Johns	median_household_income	63299
12111	Florida	St. Lucie	median_household_income	41384
12113	Florida	Santa Rosa	median_household_income	53155
12115	Florida	Sarasota	median_household_income	47457
12117	Florida	Seminole	median_household_income	54449
12119	Florida	Sumter	median_household_income	44595
12121	Florida	Suwannee	median_household_income	34947
12123	Florida	Taylor	median_household_income	33863
12125	Florida	Union	median_household_income	40743
12127	Florida	Volusia	median_household_income	38477
12129	Florida	Wakulla	median_household_income	50716
12131	Florida	Walton	median_household_income	44763
12133	Florida	Washington	median_household_income	35004
13001	Georgia	Appling	median_household_income	35164
13003	Georgia	Atkinson	median_household_income	28693
13005	Georgia	Bacon	median_household_income	31301
13007	Georgia	Baker	median_household_income	33347
13009	Georgia	Baldwin	median_household_income	34304
13011	Georgia	Banks	median_household_income	42673
13013	Georgia	Barrow	median_household_income	50996
13015	Georgia	Bartow	median_household_income	45072
13017	Georgia	Ben Hill	median_household_income	29425
13019	Georgia	Berrien	median_household_income	33417
13021	Georgia	Bibb	median_household_income	35125
13023	Georgia	Bleckley	median_household_income	39461
13025	Georgia	Brantley	median_household_income	36300
13027	Georgia	Brooks	median_household_income	29282
13029	Georgia	Bryan	median_household_income	63092
13031	Georgia	Bulloch	median_household_income	33192
13033	Georgia	Burke	median_household_income	31188
13035	Georgia	Butts	median_household_income	40330
13037	Georgia	Calhoun	median_household_income	27860
13039	Georgia	Camden	median_household_income	50207
13043	Georgia	Candler	median_household_income	28263
13045	Georgia	Carroll	median_household_income	43237
13047	Georgia	Catoosa	median_household_income	47111
13049	Georgia	Charlton	median_household_income	31582
13051	Georgia	Chatham	median_household_income	42383
13053	Georgia	Chattahoochee	median_household_income	41476
13055	Georgia	Chattooga	median_household_income	33350
13057	Georgia	Cherokee	median_household_income	65769
13059	Georgia	Clarke	median_household_income	30880
13061	Georgia	Clay	median_household_income	26420
13063	Georgia	Clayton	median_household_income	37706
13065	Georgia	Clinch	median_household_income	30237
13067	Georgia	Cobb	median_household_income	57995
13069	Georgia	Coffee	median_household_income	32351
13071	Georgia	Colquitt	median_household_income	30669
13073	Georgia	Columbia	median_household_income	62717
13075	Georgia	Cook	median_household_income	32812
13077	Georgia	Coweta	median_household_income	56878
13079	Georgia	Crawford	median_household_income	41855
13081	Georgia	Crisp	median_household_income	29134
13083	Georgia	Dade	median_household_income	41233
13085	Georgia	Dawson	median_household_income	53339
13087	Georgia	Decatur	median_household_income	31054
13089	Georgia	DeKalb	median_household_income	48293
13091	Georgia	Dodge	median_household_income	31696
13093	Georgia	Dooly	median_household_income	29970
13095	Georgia	Dougherty	median_household_income	30186
13097	Georgia	Douglas	median_household_income	50501
13099	Georgia	Early	median_household_income	31345
13101	Georgia	Echols	median_household_income	32543
13103	Georgia	Effingham	median_household_income	59502
13105	Georgia	Elbert	median_household_income	33068
13107	Georgia	Emanuel	median_household_income	30459
13109	Georgia	Evans	median_household_income	30858
13111	Georgia	Fannin	median_household_income	34775
13113	Georgia	Fayette	median_household_income	74476
13115	Georgia	Floyd	median_household_income	40159
13117	Georgia	Forsyth	median_household_income	85137
13119	Georgia	Franklin	median_household_income	31042
13121	Georgia	Fulton	median_household_income	54893
13123	Georgia	Gilmer	median_household_income	36359
13125	Georgia	Glascock	median_household_income	35247
13127	Georgia	Glynn	median_household_income	44238
13129	Georgia	Gordon	median_household_income	42253
13131	Georgia	Grady	median_household_income	33368
13133	Georgia	Greene	median_household_income	39209
13135	Georgia	Gwinnett	median_household_income	56944
13137	Georgia	Habersham	median_household_income	39879
13139	Georgia	Hall	median_household_income	49324
13141	Georgia	Hancock	median_household_income	26107
13143	Georgia	Haralson	median_household_income	37495
13145	Georgia	Harris	median_household_income	64048
13147	Georgia	Hart	median_household_income	36327
13149	Georgia	Heard	median_household_income	35765
13151	Georgia	Henry	median_household_income	58130
13153	Georgia	Houston	median_household_income	51851
13155	Georgia	Irwin	median_household_income	33602
13157	Georgia	Jackson	median_household_income	49400
13159	Georgia	Jasper	median_household_income	43618
13161	Georgia	Jeff Davis	median_household_income	32248
13163	Georgia	Jefferson	median_household_income	27703
13165	Georgia	Jenkins	median_household_income	25807
13167	Georgia	Johnson	median_household_income	28585
13169	Georgia	Jones	median_household_income	48792
13171	Georgia	Lamar	median_household_income	40769
13173	Georgia	Lanier	median_household_income	33929
13175	Georgia	Laurens	median_household_income	34865
13177	Georgia	Lee	median_household_income	60652
13179	Georgia	Liberty	median_household_income	40659
13181	Georgia	Lincoln	median_household_income	35183
13183	Georgia	Long	median_household_income	35244
13185	Georgia	Lowndes	median_household_income	34252
13187	Georgia	Lumpkin	median_household_income	44422
13189	Georgia	McDuffie	median_household_income	36907
13191	Georgia	McIntosh	median_household_income	34787
13193	Georgia	Macon	median_household_income	27934
13195	Georgia	Madison	median_household_income	40123
13197	Georgia	Marion	median_household_income	34189
13199	Georgia	Meriwether	median_household_income	34589
13201	Georgia	Miller	median_household_income	33063
13205	Georgia	Mitchell	median_household_income	31088
13207	Georgia	Monroe	median_household_income	51747
13209	Georgia	Montgomery	median_household_income	34379
13211	Georgia	Morgan	median_household_income	46176
13213	Georgia	Murray	median_household_income	36230
13215	Georgia	Muscogee	median_household_income	37564
13217	Georgia	Newton	median_household_income	44089
13219	Georgia	Oconee	median_household_income	71707
13221	Georgia	Oglethorpe	median_household_income	44066
13223	Georgia	Paulding	median_household_income	59185
13225	Georgia	Peach	median_household_income	39838
13227	Georgia	Pickens	median_household_income	50282
13229	Georgia	Pierce	median_household_income	38290
13231	Georgia	Pike	median_household_income	54457
13233	Georgia	Polk	median_household_income	36326
13235	Georgia	Pulaski	median_household_income	34820
13237	Georgia	Putnam	median_household_income	40168
13239	Georgia	Quitman	median_household_income	28621
13241	Georgia	Rabun	median_household_income	34394
13243	Georgia	Randolph	median_household_income	27950
13245	Georgia	Richmond	median_household_income	37352
13247	Georgia	Rockdale	median_household_income	51106
13249	Georgia	Schley	median_household_income	37669
13251	Georgia	Screven	median_household_income	32990
13253	Georgia	Seminole	median_household_income	30489
13255	Georgia	Spalding	median_household_income	38914
13257	Georgia	Stephens	median_household_income	37536
13259	Georgia	Stewart	median_household_income	26010
13261	Georgia	Sumter	median_household_income	31937
13263	Georgia	Talbot	median_household_income	31290
13265	Georgia	Taliaferro	median_household_income	25807
13267	Georgia	Tattnall	median_household_income	31531
13269	Georgia	Taylor	median_household_income	30308
13271	Georgia	Telfair	median_household_income	27831
13273	Georgia	Terrell	median_household_income	30552
13275	Georgia	Thomas	median_household_income	34611
13277	Georgia	Tift	median_household_income	33669
13279	Georgia	Toombs	median_household_income	32915
13281	Georgia	Towns	median_household_income	36858
13283	Georgia	Treutlen	median_household_income	30131
13285	Georgia	Troup	median_household_income	39370
13287	Georgia	Turner	median_household_income	25480
13289	Georgia	Twiggs	median_household_income	34528
13291	Georgia	Union	median_household_income	39206
13293	Georgia	Upson	median_household_income	33483
13295	Georgia	Walker	median_household_income	37813
13297	Georgia	Walton	median_household_income	52747
13299	Georgia	Ware	median_household_income	31529
13301	Georgia	Warren	median_household_income	30946
13303	Georgia	Washington	median_household_income	34117
13305	Georgia	Wayne	median_household_income	37082
13307	Georgia	Webster	median_household_income	32842
13309	Georgia	Wheeler	median_household_income	29780
13311	Georgia	White	median_household_income	39753
13313	Georgia	Whitfield	median_household_income	38452
13315	Georgia	Wilcox	median_household_income	30500
13317	Georgia	Wilkes	median_household_income	30720
13319	Georgia	Wilkinson	median_household_income	38570
13321	Georgia	Worth	median_household_income	35308
15001	Hawaii	Hawaii	median_household_income	46186
15003	Hawaii	Honolulu	median_household_income	65489
15005	Hawaii	Kalawao	median_household_income	
15007	Hawaii	Kauai	median_household_income	56937
15009	Hawaii	Maui	median_household_income	57789
16001	Idaho	Ada	median_household_income	50701
16003	Idaho	Adams	median_household_income	32752
16005	Idaho	Bannock	median_household_income	41749
16007	Idaho	Bear Lake	median_household_income	42327
16009	Idaho	Benewah	median_household_income	39327
16011	Idaho	Bingham	median_household_income	45354
16013	Idaho	Blaine	median_household_income	60448
16015	Idaho	Boise	median_household_income	48657
16017	Idaho	Bonner	median_household_income	41255
16019	Idaho	Bonneville	median_household_income	49748
16021	Idaho	Boundary	median_household_income	33655
16023	Idaho	Butte	median_household_income	41026
16025	Idaho	Camas	median_household_income	45439
16027	Idaho	Canyon	median_household_income	39132
16029	Idaho	Caribou	median_household_income	49665
16031	Idaho	Cassia	median_household_income	41393
16033	Idaho	Clark	median_household_income	40581
16035	Idaho	Clearwater	median_household_income	38086
16037	Idaho	Custer	median_household_income	44234
16039	Idaho	Elmore	median_household_income	43120
16041	Idaho	Franklin	median_household_income	46348
16043	Idaho	Fremont	median_household_income	41411
16045	Idaho	Gem	median_household_income	40541
16047	Idaho	Gooding	median_household_income	39670
16049	Idaho	Idaho	median_household_income	39184
16051	Idaho	Jefferson	median_household_income	47827
16053	Idaho	Jerome	median_household_income	39454
16055	Idaho	Kootenai	median_household_income	47026
16057	Idaho	Latah	median_household_income	42350
16059	Idaho	Lemhi	median_household_income	36319
16061	Idaho	Lewis	median_household_income	40149
16063	Idaho	Lincoln	median_household_income	40460
16065	Idaho	Madison	median_household_income	33343
16067	Idaho	Minidoka	median_household_income	40779
16069	Idaho	Nez Perce	median_household_income	43662
16071	Idaho	Oneida	median_household_income	43519
16073	Idaho	Owyhee	median_household_income	33518
16075	Idaho	Payette	median_household_income	39031
16077	Idaho	Power	median_household_income	39288
16079	Idaho	Shoshone	median_household_income	36811
16081	Idaho	Teton	median_household_income	51561
16083	Idaho	Twin Falls	median_household_income	41942
16085	Idaho	Valley	median_household_income	46210
16087	Idaho	Washington	median_household_income	35232
17001	Illinois	Adams	median_household_income	43293
17003	Illinois	Alexander	median_household_income	28499
17005	Illinois	Bond	median_household_income	44945
17007	Illinois	Boone	median_household_income	57708
17009	Illinois	Brown	median_household_income	46160
17011	Illinois	Bureau	median_household_income	48474
17013	Illinois	Calhoun	median_household_income	47218
17015	Illinois	Carroll	median_household_income	42996
17017	Illinois	Cass	median_household_income	40065
17019	Illinois	Champaign	median_household_income	42847
17021	Illinois	Christian	median_household_income	46401
17023	Illinois	Clark	median_household_income	48940
17025	Illinois	Clay	median_household_income	38445
17027	Illinois	Clinton	median_household_income	59711
17029	Illinois	Coles	median_household_income	40623
17031	Illinois	Cook	median_household_income	50806
17033	Illinois	Crawford	median_household_income	46307
17035	Illinois	Cumberland	median_household_income	47145
17037	Illinois	DeKalb	median_household_income	52091
17039	Illinois	De Witt	median_household_income	56147
17041	Illinois	Douglas	median_household_income	48671
17043	Illinois	DuPage	median_household_income	74122
17045	Illinois	Edgar	median_household_income	43596
17047	Illinois	Edwards	median_household_income	41239
17049	Illinois	Effingham	median_household_income	48632
17051	Illinois	Fayette	median_household_income	40247
17053	Illinois	Ford	median_household_income	49206
17055	Illinois	Franklin	median_household_income	36610
17057	Illinois	Fulton	median_household_income	46539
17059	Illinois	Gallatin	median_household_income	36722
17061	Illinois	Greene	median_household_income	42534
17063	Illinois	Grundy	median_household_income	63685
17065	Illinois	Hamilton	median_household_income	41446
17067	Illinois	Hancock	median_household_income	43850
17069	Illinois	Hardin	median_household_income	35596
17071	Illinois	Henderson	median_household_income	45217
17073	Illinois	Henry	median_household_income	50445
17075	Illinois	Iroquois	median_household_income	48577
17077	Illinois	Jackson	median_household_income	32868
17079	Illinois	Jasper	median_household_income	46257
17081	Illinois	Jefferson	median_household_income	42601
