FIPS	State	County	Variable	population
11001	District of Columbia	District of Columbia	population	617996
12001	Florida	Alachua	population	249365
12003	Florida	Baker	population	27154
12005	Florida	Bay	population	169856
12007	Florida	Bradford	population	28255
12009	Florida	Brevard	population	543566
12011	Florida	Broward	population	1780172
12013	Florida	Calhoun	population	14750
12015	Florida	Charlotte	population	160511
12017	Florida	Citrus	population	140031
12019	Florida	Clay	population	192370
12021	Florida	Collier	population	328134
12023	Florida	Columbia	population	67485
12027	Florida	DeSoto	population	34894
12029	Florida	Dixie	population	16486
12031	Florida	Duval	population	870709
12033	Florida	Escambia	population	299114
12035	Florida	Flagler	population	97376
12037	Florida	Franklin	population	11596
12039	Florida	Gadsden	population	46151
12041	Florida	Gilchrist	population	17004
12043	Florida	Glades	population	12635
12045	Florida	Gulf	population	15844
12047	Florida	Hamilton	population	14671
12049	Florida	Hardee	population	27887
12051	Florida	Hendry	population	39089
12053	Florida	Hernando	population	173094
12055	Florida	Highlands	population	98630
12057	Florida	Hillsborough	population	1267775
12059	Florida	Holmes	population	19873
12061	Florida	Indian River	population	138894
12063	Florida	Jackson	population	49292
12065	Florida	Jefferson	population	14658
12067	Florida	Lafayette	population	8942
12069	Florida	Lake	population	301019
12071	Florida	Lee	population	631330
12073	Florida	Leon	population	277971
12075	Florida	Levy	population	40156
12077	Florida	Liberty	population	8314
12079	Florida	Madison	population	19115
12081	Florida	Manatee	population	327142
12083	Florida	Marion	population	332529
12085	Florida	Martin	population	147495
12086	Florida	Miami-Dade	population	2554766
12087	Florida	Monroe	population	73873
12089	Florida	Nassau	population	74195
12091	Florida	Okaloosa	population	183482
12093	Florida	Okeechobee	population	40140
12095	Florida	Orange	population	1169107
12097	Florida	Osceola	population	276163
12099	Florida	Palm Beach	population	1335187
12101	Florida	Pasco	population	466457
12103	Florida	Pinellas	population	917398
12105	Florida	Polk	population	609492
12107	Florida	Putnam	population	74041
12109	Florida	St. Johns	population	195823
12111	Florida	St. Lucie	population	280379
12113	Florida	Santa Rosa	population	154104
12115	Florida	Sarasota	population	382213
12117	Florida	Seminole	population	425071
12119	Florida	Sumter	population	97756
12121	Florida	Suwannee	population	41972
12123	Florida	Taylor	population	22691
12125	Florida	Union	population	15388
12127	Florida	Volusia	population	494804
12129	Florida	Wakulla	population	30978
12131	Florida	Walton	population	55793
12133	Florida	Washington	population	24935
13001	Georgia	Appling	population	18420
13003	Georgia	Atkinson	population	8413
13005	Georgia	Bacon	population	11203
13007	Georgia	Baker	population	3085
13009	Georgia	Baldwin	population	44417
13011	Georgia	Banks	population	18251
13013	Georgia	Barrow	population	69912
13015	Georgia	Bartow	population	100421
13017	Georgia	Ben Hill	population	17673
13019	Georgia	Berrien	population	19372
13021	Georgia	Bibb	population	156433
13023	Georgia	Bleckley	population	13290
13025	Georgia	Brantley	population	18367
13027	Georgia	Brooks	population	15889
13029	Georgia	Bryan	population	31377
13031	Georgia	Bulloch	population	72881
13033	Georgia	Burke	population	23504
13035	Georgia	Butts	population	23504
13037	Georgia	Calhoun	population	6740
13039	Georgia	Camden	population	50410
13043	Georgia	Candler	population	11276
13045	Georgia	Carroll	population	111159
13047	Georgia	Catoosa	population	64530
13049	Georgia	Charlton	population	13422
13051	Georgia	Chatham	population	271544
13053	Georgia	Chattahoochee	population	11749
13055	Georgia	Chattooga	population	25736
13057	Georgia	Cherokee	population	218286
13059	Georgia	Clarke	population	117344
13061	Georgia	Clay	population	3111
13063	Georgia	Clayton	population	261532
13065	Georgia	Clinch	population	6777
13067	Georgia	Cobb	population	697553
13069	Georgia	Coffee	population	42864
13071	Georgia	Colquitt	population	45645
13073	Georgia	Columbia	population	128112
13075	Georgia	Cook	population	17125
13077	Georgia	Coweta	population	129629
13079	Georgia	Crawford	population	12567
13081	Georgia	Crisp	population	23710
13083	Georgia	Dade	population	16570
13085	Georgia	Dawson	population	22459
13087	Georgia	Decatur	population	27694
13089	Georgia	DeKalb	population	699893
13091	Georgia	Dodge	population	21894
13093	Georgia	Dooly	population	14587
13095	Georgia	Dougherty	population	94788
13097	Georgia	Douglas	population	133355
13099	Georgia	Early	population	10778
13101	Georgia	Echols	population	4129
13103	Georgia	Effingham	population	52655
13105	Georgia	Elbert	population	19886
13107	Georgia	Emanuel	population	22567
13109	Georgia	Evans	population	11065
13111	Georgia	Fannin	population	23708
13113	Georgia	Fayette	population	107784
13115	Georgia	Floyd	population	95989
13117	Georgia	Forsyth	population	181840
13119	Georgia	Franklin	population	21864
13121	Georgia	Fulton	population	949599
13123	Georgia	Gilmer	population	28324
13125	Georgia	Glascock	population	3084
13127	Georgia	Glynn	population	80386
13129	Georgia	Gordon	population	55621
13131	Georgia	Grady	population	25255
13133	Georgia	Greene	population	16031
13135	Georgia	Gwinnett	population	824941
13137	Georgia	Habersham	population	43279
13139	Georgia	Hall	population	183052
13141	Georgia	Hancock	population	9400
13143	Georgia	Haralson	population	28638
13145	Georgia	Harris	population	32265
13147	Georgia	Hart	population	25305
13149	Georgia	Heard	population	11744
13151	Georgia	Henry	population	207360
13153	Georgia	Houston	population	143925
13155	Georgia	Irwin	population	9679
13157	Georgia	Jackson	population	61257
13159	Georgia	Jasper	population	13885
13161	Georgia	Jeff Davis	population	15162
13163	Georgia	Jefferson	population	16675
13165	Georgia	Jenkins	population	8148
13167	Georgia	Johnson	population	9975
13169	Georgia	Jones	population	28516
13171	Georgia	Lamar	population	18194
13173	Georgia	Lanier	population	10404
13175	Georgia	Laurens	population	47949
13177	Georgia	Lee	population	28575
13179	Georgia	Liberty	population	65451
13181	Georgia	Lincoln	population	7862
13183	Georgia	Long	population	15136
13185	Georgia	Lowndes	population	111885
13187	Georgia	Lumpkin	population	30031
13189	Georgia	McDuffie	population	21673
13191	Georgia	McIntosh	population	14170
13193	Georgia	Macon	population	14405
13195	Georgia	Madison	population	27921
13197	Georgia	Marion	population	8746
13199	Georgia	Meriwether	population	21617
13201	Georgia	Miller	population	6141
13205	Georgia	Mitchell	population	23462
13207	Georgia	Monroe	population	26625
13209	Georgia	Montgomery	population	9065
13211	Georgia	Morgan	population	17961
13213	Georgia	Murray	population	39557
13215	Georgia	Muscogee	population	194107
13217	Georgia	Newton	population	100814
13219	Georgia	Oconee	population	33366
13221	Georgia	Oglethorpe	population	14686
13223	Georgia	Paulding	population	143542
13225	Georgia	Peach	population	27823
13227	Georgia	Pickens	population	29415
13229	Georgia	Pierce	population	18770
13231	Georgia	Pike	population	17751
13233	Georgia	Polk	population	41211
13235	Georgia	Pulaski	population	11735
13237	Georgia	Putnam	population	21345
13239	Georgia	Quitman	population	2464
13241	Georgia	Rabun	population	16274
13243	Georgia	Randolph	population	7558
13245	Georgia	Richmond	population	201217
13247	Georgia	Rockdale	population	85765
13249	Georgia	Schley	population	5020
13251	Georgia	Screven	population	14367
13253	Georgia	Seminole	population	8791
13255	Georgia	Spalding	population	64033
13257	Georgia	Stephens	population	25960
13259	Georgia	Stewart	population	5910
13261	Georgia	Sumter	population	32511
13263	Georgia	Talbot	population	6751
13265	Georgia	Taliaferro	population	1703
13267	Georgia	Tattnall	population	25688
13269	Georgia	Taylor	population	8499
13271	Georgia	Telfair	population	16057
13273	Georgia	Terrell	population	9319
13275	Georgia	Thomas	population	44702
13277	Georgia	Tift	population	41461
13279	Georgia	Toombs	population	27434
13281	Georgia	Towns	population	10611
13283	Georgia	Treutlen	population	6825
13285	Georgia	Troup	population	67764
13287	Georgia	Turner	population	8875
13289	Georgia	Twiggs	population	8779
13291	Georgia	Union	population	21134
13293	Georgia	Upson	population	26977
13295	Georgia	Walker	population	68848
13297	Georgia	Walton	population	84580
13299	Georgia	Ware	population	36474
13301	Georgia	Warren	population	5721
13303	Georgia	Washington	population	21111
13305	Georgia	Wayne	population	30327
13307	Georgia	Webster	population	2791
13309	Georgia	Wheeler	population	7939
13311	Georgia	White	population	27273
13313	Georgia	Whitfield	population	103184
13315	Georgia	Wilcox	population	9298
13317	Georgia	Wilkes	population	10211
13319	Georgia	Wilkinson	population	9444
13321	Georgia	Worth	population	21921
15001	Hawaii	Hawaii	population	186738
15003	Hawaii	Honolulu	population	963607
15005	Hawaii	Kalawao	population	90
15007	Hawaii	Kauai	population	67701
15009	Hawaii	Maui	population	156674
16001	Idaho	Ada	population	400842
16003	Idaho	Adams	population	3977
16005	Idaho	Bannock	population	83691
16007	Idaho	Bear Lake	population	6001
16009	Idaho	Benewah	population	9209
16011	Idaho	Bingham	population	45952
16013	Idaho	Blaine	population	21199
16015	Idaho	Boise	population	7025
16017	Idaho	Bonner	population	40808
16019	Idaho	Bonneville	population	105772
16021	Idaho	Boundary	population	10804
16023	Idaho	Butte	population	2822
16025	Idaho	Camas	population	1124
16027	Idaho	Canyon	population	191694
16029	Idaho	Caribou	population	6850
16031	Idaho	Cassia	population	23186
16033	Idaho	Clark	population	949
16035	Idaho	Clearwater	population	8702
16037	Idaho	Custer	population	4333
16039	Idaho	Elmore	population	26346
16041	Idaho	Franklin	population	12850
16043	Idaho	Fremont	population	13128
16045	Idaho	Gem	population	16665
16047	Idaho	Gooding	population	15475
16049	Idaho	Idaho	population	16446
16051	Idaho	Jefferson	population	26301
16053	Idaho	Jerome	population	22682
16055	Idaho	Kootenai	population	141132
16057	Idaho	Latah	population	37704
16059	Idaho	Lemhi	population	7967
16061	Idaho	Lewis	population	3822
16063	Idaho	Lincoln	population	5186
16065	Idaho	Madison	population	37864
16067	Idaho	Minidoka	population	20155
16069	Idaho	Nez Perce	population	39543
16071	Idaho	Oneida	population	4215
16073	Idaho	Owyhee	population	11438
16075	Idaho	Payette	population	22624
16077	Idaho	Power	population	7766
16079	Idaho	Shoshone	population	12672
16081	Idaho	Teton	population	10166
16083	Idaho	Twin Falls	population	78005
16085	Idaho	Valley	population	9638
16087	Idaho	Washington	population	10255
17001	Illinois	Adams	population	67159
17003	Illinois	Alexander	population	8036
17005	Illinois	Bond	population	17727
17007	Illinois	Boone	population	54367
17009	Illinois	Brown	population	6878
17011	Illinois	Bureau	population	34606
17013	Illinois	Calhoun	population	5048
17015	Illinois	Carroll	population	15163
17017	Illinois	Cass	population	13579
17019	Illinois	Champaign	population	201685
17021	Illinois	Christian	population	34865
17023	Illinois	Clark	population	16161
17025	Illinois	Clay	population	13728
17027	Illinois	Clinton	population	37956
17029	Illinois	Coles	population	53916
17031	Illinois	Cook	population	5217080
17033	Illinois	Crawford	population	19857
17035	Illinois	Cumberland	population	11096
17037	Illinois	DeKalb	population	104743
17039	Illinois	De Witt	population	16578
17041	Illinois	Douglas	population	19836
17043	Illinois	DuPage	population	923222
17045	Illinois	Edgar	population	18393
17047	Illinois	Edwards	population	6618
17049	Illinois	Effingham	population	34280
17051	Illinois	Fayette	population	22133
17053	Illinois	Ford	population	13976
17055	Illinois	Franklin	population	39627
17057	Illinois	Fulton	population	36962
17059	Illinois	Gallatin	population	5528
17061	Illinois	Greene	population	13798
17063	Illinois	Grundy	population	50130
17065	Illinois	Hamilton	population	8425
17067	Illinois	Hancock	population	19031
17069	Illinois	Hardin	population	4281
17071	Illinois	Henderson	population	7196
17073	Illinois	Henry	population	50328
17075	Illinois	Iroquois	population	29475
17077	Illinois	Jackson	population	60365
17079	Illinois	Jasper	population	9717
17081	Illinois	Jefferson	population	38713
17083	Illinois	Jersey	population	22916
17085	Illinois	Jo Daviess	population	22712
17087	Illinois	Johnson	population	12654
17089	Illinois	Kane	population	520271
17091	Illinois	Kankakee	population	113698
17093	Illinois	Kendall	population	116631
17095	Illinois	Knox	population	52917
17097	Illinois	Lake	population	706222
17099	Illinois	LaSalle	population	113518
17101	Illinois	Lawrence	population	16745
17103	Illinois	Lee	population	35467
17105	Illinois	Livingston	population	38885
17107	Illinois	Logan	population	30140
17109	Illinois	McDonough	population	32582
17111	Illinois	McHenry	population	308944
17113	Illinois	McLean	population	170556
17115	Illinois	Macon	population	110730
17117	Illinois	Macoupin	population	47687
17119	Illinois	Madison	population	268459
17121	Illinois	Marion	population	39335
17123	Illinois	Marshall	population	12533
17125	Illinois	Mason	population	14485
17127	Illinois	Massac	population	15442
17129	Illinois	Menard	population	12703
17131	Illinois	Mercer	population	16363
17133	Illinois	Monroe	population	33306
17135	Illinois	Montgomery	population	29848
17137	Illinois	Morgan	population	35543
17139	Illinois	Moultrie	population	14824
17141	Illinois	Ogle	population	53115
17143	Illinois	Peoria	population	186834
17145	Illinois	Perry	population	22264
17147	Illinois	Piatt	population	16675
17149	Illinois	Pike	population	16398
17151	Illinois	Pope	population	4370
17153	Illinois	Pulaski	population	6046
17155	Illinois	Putnam	population	5968
17157	Illinois	Randolph	population	33361
17159	Illinois	Richland	population	16230
17161	Illinois	Rock Island	population	147556
17163	Illinois	St. Clair	population	270259
17165	Illinois	Saline	population	24981
17167	Illinois	Sangamon	population	198844
17169	Illinois	Schuyler	population	7479
17171	Illinois	Scott	population	5271
17173	Illinois	Shelby	population	22212
17175	Illinois	Stark	population	5667
17177	Illinois	Stephenson	population	47563
17179	Illinois	Tazewell	population	135661
17181	Illinois	Union	population	17708
17183	Illinois	Vermilion	population	81509
17185	Illinois	Wabash	population	11834
17187	Illinois	Warren	population	17818
17189	Illinois	Washington	population	14533
17191	Illinois	Wayne	population	16651
17193	Illinois	White	population	14663
17195	Illinois	Whiteside	population	58388
17197	Illinois	Will	population	681545
17199	Illinois	Williamson	population	66622
17201	Illinois	Winnebago	population	293993
17203	Illinois	Woodford	population	38861
18001	Indiana	Adams	population	34370
18003	Indiana	Allen	population	358327
18005	Indiana	Bartholomew	population	77870
18007	Indiana	Benton	population	8853
18009	Indiana	Blackford	population	12594
18011	Indiana	Boone	population	57481
18013	Indiana	Brown	population	15099
18015	Indiana	Carroll	population	20031
18017	Indiana	Cass	population	38828
18019	Indiana	Clark	population	111570
18021	Indiana	Clay	population	26894
18023	Indiana	Clinton	population	33104
18025	Indiana	Crawford	population	10658
18027	Indiana	Daviess	population	31978
18029	Indiana	Dearborn	population	50113
18031	Indiana	Decatur	population	25944
18033	Indiana	DeKalb	population	42462
18035	Indiana	Delaware	population	117660
18037	Indiana	Dubois	population	42199
18039	Indiana	Elkhart	population	198941
18041	Indiana	Fayette	population	24285
18043	Indiana	Floyd	population	74989
18045	Indiana	Fountain	population	17213
18047	Indiana	Franklin	population	23041
18049	Indiana	Fulton	population	20872
18051	Indiana	Gibson	population	33505
18053	Indiana	Grant	population	69793
18055	Indiana	Greene	population	32895
18057	Indiana	Hamilton	population	282810
18059	Indiana	Hancock	population	70529
18061	Indiana	Harrison	population	39336
18063	Indiana	Hendricks	population	147979
18065	Indiana	Henry	population	49264
18067	Indiana	Howard	population	82800
18069	Indiana	Huntington	population	37211
18071	Indiana	Jackson	population	42966
18073	Indiana	Jasper	population	33416
18075	Indiana	Jay	population	21310
18077	Indiana	Jefferson	population	32249
18079	Indiana	Jennings	population	28196
18081	Indiana	Johnson	population	141656
18083	Indiana	Knox	population	38500
18085	Indiana	Kosciusko	population	77336
18087	Indiana	LaGrange	population	37382
18089	Indiana	Lake	population	495558
18091	Indiana	LaPorte	population	111374
18093	Indiana	Lawrence	population	46195
18095	Indiana	Madison	population	131235
18097	Indiana	Marion	population	911296
18099	Indiana	Marshall	population	47050
18101	Indiana	Martin	population	10332
18103	Indiana	Miami	population	36611
18105	Indiana	Monroe	population	139799
18107	Indiana	Montgomery	population	38441
18109	Indiana	Morgan	population	69464
18111	Indiana	Newton	population	14161
18113	Indiana	Noble	population	47553
18115	Indiana	Ohio	population	6065
18117	Indiana	Orange	population	19969
18119	Indiana	Owen	population	21499
18121	Indiana	Parke	population	17237
18123	Indiana	Perry	population	19354
18125	Indiana	Pike	population	12728
18127	Indiana	Porter	population	165537
18129	Indiana	Posey	population	25720
18131	Indiana	Pulaski	population	13363
18133	Indiana	Putnam	population	37917
18135	Indiana	Randolph	population	26105
18137	Indiana	Ripley	population	28759
18139	Indiana	Rush	population	17287
18141	Indiana	St. Joseph	population	266700
18143	Indiana	Scott	population	23987
18145	Indiana	Shelby	population	44337
18147	Indiana	Spencer	population	20961
18149	Indiana	Starke	population	23199
18151	Indiana	Steuben	population	34028
18153	Indiana	Sullivan	population	21356
18155	Indiana	Switzerland	population	10569
18157	Indiana	Tippecanoe	population	174724
18159	Indiana	Tipton	population	15788
18161	Indiana	Union	population	7513
18163	Indiana	Vanderburgh	population	180305
